Coin,Sentiment,Closed PnL
ARB,Extreme Greed,4.446950857142857
ARB,Fear,797.0925143636364
ARB,Greed,6.160784168674699
ARB,Neutral,5.4958008666666665
ARK,Extreme Greed,6.53457
ARK,Fear,0.9695270714285715
ARK,Greed,-6.5239375
ATOM,Extreme Greed,1.1589624210526315
ATOM,Greed,0.0
ATOM,Neutral,0.15312
AVAX,Extreme Fear,10.324872285714285
AVAX,Extreme Greed,2.09846076119403
AVAX,Fear,7.45803752
AVAX,Greed,262.96847423913044
AVAX,Neutral,1610.9123447727272
BABY,Fear,32.909933333333335
BADGER,Extreme Greed,0.309638
BADGER,Greed,7.615997857142857
BANANA,Greed,-11.640741142857143
BANANA,Neutral,0.0
BERA,Extreme Fear,64.31332038829787
BERA,Fear,-0.08131295294117644
BERA,Greed,202.04748907281552
BERA,Neutral,-189.6234801754386
BIGTIME,Extreme Greed,54.05952379310345
BIGTIME,Greed,12.953008571428573
BIGTIME,Neutral,-1.1952
BIO,Extreme Greed,2.48414375
BIO,Greed,7.892833975308642
BLAST,Extreme Greed,9.712390274509804
BLAST,Greed,19.427002428571427
BLAST,Neutral,1.065303
BLUR,Extreme Greed,6.758981371428571
BLUR,Fear,6.369572
BLUR,Greed,89.91723323529412
BLUR,Neutral,6.88275175
BNB,Extreme Fear,22.87815590909091
BNB,Extreme Greed,1.9969951666666665
BNB,Fear,-10.237245694444445
BNB,Greed,0.20891258064516116
BNB,Neutral,26.659105263157894
BNT,Extreme Greed,-1.760528
BOME,Extreme Greed,21.37104
BOME,Greed,0.0
BOME,Neutral,-3.040979333333333
BRETT,Extreme Greed,7.3061066384615385
BRETT,Greed,0.4027428571428571
BRETT,Neutral,2.8551
BTC,Extreme Fear,1.7319208572237954
BTC,Extreme Greed,41.4132639954844
BTC,Fear,48.90067315663627
BTC,Greed,15.949612092403314
BTC,Neutral,34.92117517925521
CAKE,Extreme Greed,32.96646338461539
CAKE,Greed,0.0
CAKE,Neutral,14.494700658536585
CANTO,Greed,-18.849813000000005
CHILLGUY,Extreme Greed,26.559158649425285
CHILLGUY,Fear,9.029051666666666
CHILLGUY,Greed,0.6049995172413792
CHILLGUY,Neutral,6.8743155555555555
COMP,Extreme Greed,17.209106860465116
COMP,Fear,148.26831488888888
CRV,Fear,-0.40078783199999996
CRV,Greed,-92.27877123076922
CYBER,Extreme Greed,191.5296
CYBER,Greed,0.0
DOGE,Extreme Fear,0.0
DOGE,Extreme Greed,42.5337740204499
DOGE,Fear,658.94759225
DOGE,Greed,10.659519873239436
DOGE,Neutral,2969.4734945384616
DOT,Extreme Greed,1.9254374772727274
DOT,Greed,3.9853533599999995
DOT,Neutral,1.826962
DYDX,Extreme Fear,0.0
DYDX,Extreme Greed,13.3861408
DYDX,Fear,1.0434446875
DYDX,Greed,0.27415933333333337
DYDX,Neutral,1.5766046666666667
DYM,Extreme Greed,-127.97342549999999
DYM,Greed,24.871337999999998
DYM,Neutral,2.884062
EIGEN,Extreme Greed,4.171146084507042
EIGEN,Fear,295.63191117777774
EIGEN,Greed,45.42007123857868
EIGEN,Neutral,1.046983
ENA,Extreme Fear,120.34889231578946
ENA,Extreme Greed,65.02467202319588
ENA,Fear,830.6540607046632
ENA,Greed,92.78104470958904
ENA,Neutral,-174.7205272
ENS,Greed,-1.7803399999999998
ETC,Extreme Greed,83.3618
ETC,Greed,0.0
ETC,Neutral,19.16244
ETH,Extreme Fear,196.92766022254128
ETH,Extreme Greed,-20.75892793231225
ETH,Fear,236.86476378421054
ETH,Greed,98.21936567263569
ETH,Neutral,46.75329430372057
ETHFI,Extreme Greed,0.0
ETHFI,Fear,138.47867434615384
ETHFI,Greed,219.0964035323741
ETHFI,Neutral,76.37912525714286
FARTCOIN,Extreme Fear,-244.27275434867258
FARTCOIN,Extreme Greed,21.30144864467005
FARTCOIN,Fear,-11.368853384858044
FARTCOIN,Greed,18.718422684162896
FARTCOIN,Neutral,-3.060023220754717
FET,Extreme Greed,20.94322857142857
FET,Fear,8.52665
FET,Greed,1.6377375
FIL,Greed,-7.055718000000001
FTM,Extreme Greed,85.7453980617284
FTM,Greed,-9.738456000000001
FTM,Neutral,0.0008686
FTT,Extreme Fear,37.156913304347825
FTT,Extreme Greed,2.7938068987783597
FTT,Fear,26.669027808510638
FTT,Greed,2.7274699964157705
FTT,Neutral,11.469583925
FXS,Extreme Greed,1.1101225384615385
FXS,Greed,-2.0105719733333336
GALA,Extreme Greed,5.83045808
GALA,Fear,9.394362
GALA,Greed,0.5896742727272728
GALA,Neutral,4.367143666666666
GAS,Neutral,30.30695
GMT,Extreme Fear,1.544824
GMT,Extreme Greed,3.617634692307692
GMT,Fear,4.78001692
GMT,Greed,0.23478523809523813
GMT,Neutral,3.8157840000000003
GMX,Extreme Fear,47.87775307692308
GMX,Extreme Greed,1.0851810175438596
GMX,Greed,0.0
GMX,Neutral,1.0834004285714285
GOAT,Extreme Fear,14.905763333333333
GOAT,Extreme Greed,86.65039076086956
GOAT,Greed,13.858575000000002
GOAT,Neutral,15.5193
GRASS,Extreme Fear,15.24201538235294
GRASS,Extreme Greed,1.4276074833333334
GRASS,Fear,1.5238564210526315
GRASS,Greed,1.6642980408163266
GRASS,Neutral,4.1311236
GRIFFAIN,Extreme Fear,-94.52310675
GRIFFAIN,Extreme Greed,15.36519072826087
GRIFFAIN,Fear,18.194373533333334
GRIFFAIN,Greed,16.207949352941178
GRIFFAIN,Neutral,-10.51233470689655
HBAR,Extreme Greed,9.726572857142857
HBAR,Greed,2.3712373454545457
HBAR,Neutral,8.85375
HPOS,Extreme Greed,-33.94726373076923
HPOS,Greed,31.182600193181816
HPOS,Neutral,10.717960909090909
HYPE,Extreme Fear,46.904437527631835
HYPE,Extreme Greed,28.098989355797993
HYPE,Fear,30.06355240155987
HYPE,Greed,24.569011680455016
HYPE,Neutral,17.32280311140614
HYPER,Greed,28.208829032258066
ILV,Extreme Greed,46.74189061764706
ILV,Greed,9.66917825
ILV,Neutral,-0.04207
IMX,Extreme Greed,1.9509583333333333
IMX,Greed,29.104531249999997
IMX,Neutral,4.30904
INIT,Greed,11.758087096774194
INJ,Extreme Greed,23.02509423809524
INJ,Greed,94.331766375
IO,Extreme Fear,0.03682
IO,Extreme Greed,-3.3026596666666665
IO,Fear,0.0
IO,Greed,-77.39447337010677
IO,Neutral,4.679384444444445
IOTA,Greed,-0.350692
IP,Extreme Fear,25.9612
IP,Fear,5.344952963855421
IP,Neutral,7.65783456
JELLY,Extreme Fear,38.78287448192771
JELLY,Extreme Greed,74.78081631944444
JELLY,Fear,26.861150227765727
JELLY,Greed,78.44149808823529
JELLY,Neutral,14.747853716666667
JTO,Extreme Fear,4.817301333333334
JTO,Extreme Greed,0.0
JTO,Fear,5.619
JTO,Greed,103.51137773170731
JTO,Neutral,-25.382038795454545
JUP,Extreme Fear,1.9390933333333333
JUP,Extreme Greed,8.725789855018586
JUP,Fear,-42.15040910447761
JUP,Greed,150.11833192361112
JUP,Neutral,12.230165636363637
KAITO,Extreme Fear,49.26165120952381
KAITO,Fear,-97.38923908496731
KAITO,Greed,0.8437969328358209
KAITO,Neutral,20.462103558139535
LAYER,Fear,88.51677852348993
LAYER,Greed,0.0
LAYER,Neutral,51.100944755244754
LDO,Extreme Fear,0.0
LDO,Extreme Greed,2.8148716166666667
LDO,Fear,2.4420048
LDO,Greed,0.7377874285714285
LDO,Neutral,9.545118444444444
LINK,Extreme Fear,0.0
LINK,Extreme Greed,0.9901654054054054
LINK,Fear,57.78675962121213
LINK,Greed,3.7234578625954198
LINK,Neutral,4.858741512820513
LISTA,Neutral,2.23487
LOOM,Extreme Greed,107.5285275
LOOM,Neutral,0.0
LTC,Extreme Fear,0.0
LTC,Extreme Greed,15.237197132075472
LTC,Fear,316.43138000000005
LTC,Greed,1.7449084615384616
LTC,Neutral,5.47719
MANTA,Extreme Greed,14.985301333333332
MANTA,Greed,19.991965555555552
MATIC,Extreme Greed,114.4450845
MATIC,Greed,-8.220988633333333
MAV,Neutral,0.00945
MAVIA,Extreme Greed,112.59726500000001
MAVIA,Fear,40.06217865
